gender,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,Churn
Male,63,97.2,3509.33,Two year,Fiber optic,No
Female,17,32.08,2253.38,Month-to-month,DSL,Yes
Male,33,101.23,3058.25,Two year,Fiber optic,No
Male,29,82.69,1618.75,One year,DSL,No
Male,13,70.36,1984.88,Two year,DSL,No
Female,46,50.73,5447.04,One year,No,No
Male,35,47.52,1287.71,One year,Fiber optic,No
Male,6,32.48,2731.48,Month-to-month,DSL,Yes
Male,69,99.34,2670.2,Month-to-month,Fiber optic,Yes
Female,47,95.75,2033.87,Month-to-month,DSL,No
Male,25,36.87,3271.6,Two year,No,No
Male,66,53.95,3384.58,Two year,DSL,No
Male,10,73.66,1111.27,Month-to-month,DSL,No
Male,56,59.01,2652.04,Month-to-month,Fiber optic,No
Female,30,26.63,876.45,Month-to-month,Fiber optic,No
Male,5,51.84,3682.82,One year,Fiber optic,No
Female,33,104.02,2764.73,Month-to-month,DSL,No
Female,65,53.2,2623.49,One year,DSL,No
Female,18,61.73,3488.55,Two year,Fiber optic,No
Male,49,42.1,2086.73,Month-to-month,DSL,No
Female,11,76.76,3871.03,Month-to-month,No,Yes
Male,26,67.3,1077.33,Month-to-month,DSL,No
Female,63,50.16,4617.81,Month-to-month,Fiber optic,No
Female,59,38.91,1673.63,Month-to-month,Fiber optic,No
Female,27,93.09,-44.27,Month-to-month,DSL,Yes
Female,49,32.89,2007.2,Two year,Fiber optic,No
Female,33,75.08,1837.05,Month-to-month,No,No
Female,1,21.92,1995.89,Month-to-month,DSL,No
Female,21,79.14,2847.47,Two year,No,No
Female,55,84.41,4146.76,One year,Fiber optic,No
Male,6,86.9,2212.44,Month-to-month,DSL,No
Male,69,61.78,1462.57,One year,Fiber optic,No
Female,5,96.68,810.18,Month-to-month,DSL,Yes
Female,3,111.16,1797.73,One year,Fiber optic,Yes
Female,53,58.57,-331.74,One year,Fiber optic,No
Male,23,55.98,1412.3,One year,No,No
Female,53,67.98,4366.08,Month-to-month,No,No
Male,37,55.45,1264.96,Two year,Fiber optic,No
Male,17,52.52,3443.07,Month-to-month,Fiber optic,No
Male,1,54.27,660.28,Month-to-month,DSL,Yes
Male,51,99.32,5156.64,Month-to-month,Fiber optic,No
Male,45,80.44,5256.41,Month-to-month,DSL,No
Female,4,55.38,3386.53,Month-to-month,Fiber optic,No
Female,62,15.9,5486.88,Two year,Fiber optic,No
Female,65,34.11,3033.69,Two year,DSL,No
Female,32,75.07,3652.78,Month-to-month,DSL,No
Female,34,22.57,4392.9,Month-to-month,DSL,Yes
Male,72,70.86,2769.58,Month-to-month,Fiber optic,No
Female,39,43.69,171.43,Month-to-month,Fiber optic,No
Female,26,66.84,3683.45,Month-to-month,Fiber optic,No
Male,34,66.28,1792.21,Two year,Fiber optic,No
Female,54,67.41,1903.71,Month-to-month,Fiber optic,No
Male,3,57.11,2946.84,Month-to-month,DSL,Yes
Female,50,56.45,3349.42,Month-to-month,DSL,No
Male,12,50.58,2725.2,Two year,Fiber optic,No
Female,65,74.68,3453.59,One year,Fiber optic,No
Female,54,81.1,1439.71,Two year,DSL,Yes
Male,5,40.62,2435.94,One year,DSL,Yes
Male,57,63.97,3773.63,Month-to-month,DSL,No
Male,17,68.93,5159.19,Month-to-month,Fiber optic,No
Male,47,68.68,5689.65,One year,DSL,No
Male,23,68.34,3149.47,Month-to-month,Fiber optic,No
Male,14,56.96,3760.01,One year,No,No
Male,66,70.58,5472.37,Month-to-month,DSL,No
Male,51,77.36,1493.75,Month-to-month,No,No
Female,38,67.82,3444.55,One year,Fiber optic,No
Female,64,75.12,3652.51,One year,Fiber optic,No
Male,38,84.81,4671.79,One year,Fiber optic,No
Female,50,27.98,794.29,Month-to-month,Fiber optic,No
Female,30,83.87,1090.89,One year,Fiber optic,No
Female,51,71.85,2532.07,Month-to-month,Fiber optic,No
Female,63,42.77,3066.59,Month-to-month,DSL,No
Male,52,81.05,4184.3,Month-to-month,DSL,Yes
Female,38,57.03,3276.32,Month-to-month,DSL,No
Male,30,59.76,2272.88,Month-to-month,DSL,No
Female,51,54.85,3124.69,Month-to-month,DSL,No
Female,5,71.05,2951.57,Month-to-month,DSL,No
Female,29,49.29,5117.52,Month-to-month,Fiber optic,No
Male,4,83.03,2748.49,Month-to-month,No,No
Female,10,62.22,1925.37,Month-to-month,No,Yes
Male,56,57.72,3174.41,Month-to-month,Fiber optic,Yes
Female,17,80.06,2797.73,One year,Fiber optic,No
Male,17,58.61,143.51,Month-to-month,No,No
Female,69,83.96,2476.52,Month-to-month,Fiber optic,No
Male,34,84.59,2348.89,Month-to-month,DSL,No
Male,6,38.3,1684.19,One year,No,No
Female,53,87.19,4053.37,Two year,Fiber optic,No
Male,66,35.76,1321.48,One year,Fiber optic,No
Female,43,88.43,3183.43,One year,DSL,Yes
Female,23,105.57,2278.21,Month-to-month,DSL,No
Female,55,82.5,2661.54,One year,No,Yes
Female,16,21.86,3117.68,One year,Fiber optic,No
Female,8,86.27,538.64,Month-to-month,DSL,No
